food_name,image_url
Cereais mingau milho infantil,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2KfYq4EAFqyUOTchSBriIEr3EeYWSwOpjfjF2RTl7vSktpy5da4N2jtNHzQk&s
Cereais mistura para vitamina trigo cevada e aveia,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcYcsK_XiNdymRnAvtgBIsyGowsnaeHWjoMrGTHoNYeolE895agD8yw0GKwQ&s
Cereal matinal milho,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4hrvHjhU6q5K-zSpOQgJYmzbLGHl3MWTkFVXmF2rDSe-JLEwpB6hWEAFTYA&s
Cereal matinal milho açúcar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf2evbngHy554nb7f8YN2WnJaJHk21e_9FqmciOf_gbCWg71-PZ_nEVIG8xw&s
Creme de arroz pó,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZXnhsXozAkaB7D5tqj2mh8JIgbjeM255D0Oh85jAITtBg8fMROgQBOxnn_A&s
Creme de milho pó,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJ0n9ik5l64XV9IBg6MkE5m2nfY5f6EP15gQdk4tbBFzhcAPXC_VA2JGDQNvw&s
Curau milho verde,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTM7nl65KXNTbsxYJD-egfJDoq9kPZh5UdTxajQ2nSdKAOdSAn7QvfiiTVkjxg&s
Curau milho verde mistura para,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJTPx1fdLoQ7tsqGpQ2UIKyO0xYR6HhD9Zx5IgPVntQR9qLuR8VGC-jcPO8mw&s
Farinha de arroz enriquecida,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToyTlEdwjAd7jVWQFOagnIc1rejdCEgRhAd2X82jVS6qpRdzxDDG2u0ouGvA&s
Farinha de centeio integral,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-MSBt4xxrcgxE4G_NjOZD7w1LQV295KsRb5D5bDkeJyPWPwPMoV3gvlACmh4&s
Farinha de milho amarela,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTS_cnUKTWt46K-8d_WZFsYKQhcAc_jJp-T2Xcwn0GwtlzdhA9VenvWNEbYKQ&s
Farinha de rosca,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSL-5JX7cZdHNWzfVrV1kCJKmHMkhQRPyKcRPNVZB0Fst-slFtAMTnhSypn6Q&s
Farinha de trigo,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwLvjEDQzfJv-CZ1AvsXwFbtYLTtBN7ugOjFzxqzmmc217QcpPrqI9rDLO&s
Farinha láctea de cereais,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTO9jS2LwslGSXX7Am9DJ8QhB-aZlOmtbXFLxiwVXum8BpF5VQlB4Bjh4bR54g&s
Lasanha massa fresca cozida,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-vOdAmk7kDTa6-pUPnpUI0gcjPTLMh_--uDK6QKaqqU0XEsvJDCaBQSQodA&s
